date,court,time,status,rate
2026-09-25,Court beb6,14:00,unknown,
2026-09-25,Court beb6,14:30,unknown,
2026-09-25,Court beb6,15:00,unknown,
2026-09-25,Court beb6,15:30,unknown,
2026-09-25,Court beb6,16:00,unknown,
2026-09-25,Court beb6,16:30,unknown,
2026-09-25,Court beb6,17:00,unknown,
2026-09-25,Court beb6,17:30,unknown,
2026-09-25,Court beb6,18:00,never,
2026-09-25,Court beb6,18:30,never,
2026-09-25,Court beb6,19:00,never,
2026-09-25,Court beb6,19:30,never,
2026-09-25,Court beb6,20:00,never,
2026-09-25,Court beb6,20:30,never,
2026-09-25,Court beb6,21:00,never,
2026-09-25,Court beb6,21:30,never,
2026-09-25,Court beb6,22:00,never,
2026-09-25,Court beb6,22:30,never,
2026-09-25,Court beb6,23:00,never,
2026-09-25,Court beb6,23:30,never,
2026-09-25,Court e027,06:00,unknown,
2026-09-25,Court e027,06:30,unknown,
2026-09-25,Court e027,07:00,unknown,
2026-09-25,Court e027,07:30,unknown,
2026-09-25,Court e027,08:00,unknown,
2026-09-25,Court e027,08:30,unknown,
2026-09-25,Court e027,09:00,unknown,
2026-09-25,Court e027,09:30,unknown,
2026-09-25,Court e027,10:00,unknown,
2026-09-25,Court e027,10:30,unknown,
2026-09-25,Court e027,11:00,unknown,
2026-09-25,Court e027,11:30,unknown,
2026-09-25,Court e027,12:00,unknown,
2026-09-25,Court e027,12:30,unknown,
2026-09-25,Court e027,13:00,unknown,
2026-09-25,Court e027,13:30,unknown,
2026-09-25,Court e027,14:00,unknown,
2026-09-25,Court e027,14:30,unknown,
2026-09-25,Court e027,15:00,unknown,
2026-09-25,Court e027,15:30,unknown,
2026-09-25,Court e027,16:00,unknown,
2026-09-25,Court e027,16:30,unknown,
2026-09-25,Court e027,17:00,unknown,
2026-09-25,Court e027,17:30,unknown,
2026-09-25,Court e027,18:00,never,
2026-09-25,Court e027,18:30,never,
2026-09-25,Court e027,19:00,never,
2026-09-25,Court e027,19:30,never,
2026-09-25,Court e027,20:00,never,
2026-09-25,Court e027,20:30,never,
2026-09-25,Court e027,21:00,never,
2026-09-25,Court e027,21:30,never,
2026-09-25,Court e027,22:00,sold,25.0
2026-09-25,Court e027,22:30,sold,25.0
2026-09-25,Court e027,23:00,free,25.0
2026-09-25,Court e027,23:30,sold,25.0
